Division	Country	IC # 	IC Name / Name of Investment Center	PSP	Project Description	Project on RDA Yes / No	Type/Nature	Business Responsible	Legal Responsible	Finance Responsible	Case number	Claimant	Respondent of Claim	Counter Party's Relation to Implenia	Status of the Proceeding	Subject matter	Currency	"Value in dispute /
Claim volume       Claim by Implenia (+) / aganist Implenia (-)"	Our share %	"Value in dispute /
Claim volume based on our share"	"Real Case:"	Considered amount in our accounting	"Opportunities (+) /
Risks (-)"	Accumulated legal costs (expensed)	Expected legal costs (not yet expensed)	Accumulated court costs (expensed)	Expected court costs (not yet expensed)	Date start of proceeding	Date end of proceeding	Date relevant for interest	Interest rate	Interests
Buildings AT	Austria	56454	Name 1	64183	Case 2112	 No 	 Legal case against Implenia 	Peter	Jack	Mathias	213	Company A	 Name 111 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -493 	100%	 -493 	-99 	-99 	 -   	-30 	-10 	-4 	0 	08.02.19		17.08.18	8.6%	 -40
Buildings AT	Austria	56454	Name 2	64183	Case 2113	 No 	 Legal case by Implenia 	 Max 	 Nick 	 Heinz 	214	Company B	 Name 112 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 2'704 	100%	 2'704 	818 	818 	 -   	-187 	-59 	-81 	0 	29.04.20		26.01.20	8.6%	 229
Buildings CH	Switzerland	56454	Name 3	64183	Case 2114	 No 	 Expected legal case against Implenia 	 Heidi 	 Stella 	 Rene 	215	Company C	 Name 113 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -3'000 	100%	 -3'000 	-300 	-300 	 -   	0 	0 	0 	0 	30.11.20		25.08.03	5.0%	 -295
Buildings CH	Switzerland	56454	Name 4	64183	Case 2115	 No 	 Legal case against Implenia 	 Frack 	 Luna 	 Simon 	216	Company D	 Name 114 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -1'900 	100%	 -1'900 	-800 	-800 	 -   	-45 	-60 	0 	-15 	01.05.16		01.01.13	5.0%	 -413
Buildings DE	Germany	56454	Name 5	64183	Case 2116	 No 	 Expected legal case by Implenia 	 Hans 	 Meike 	 Marcel 	217	Company E	 Name 115 	 Client 	 First Instance - Court deliberation 	Text	 CHF 	 4'010 	100%	 4'010 	1'203 	1'203 	 -   	-30 	0 	0 	0 	01.06.10			0.0%	 -
Buildings DE	Germany	56454	Name 6	864687	Case 2117	 No 	 Expected legal case by Implenia 	 Werner 	 Kerstin 	 Christian 	218	Company F	 Name 116 	 Client 	 First Instance - Court deliberation 	Text	 CHF 	 -3'389 	100%	 -3'389 	-1'177 	-1'177 	 -   	-6 	-51 	0 	0 	22.08.16		22.08.16	9.0%	 -709
Civil CH	Switzerland	8374351	Name 7	864687	Case 2118	 No 	 Expected legal case by Implenia 	 Alexander 	 Ludwig 	 Peter 	219	Company G	 Name 117 	 Authorities 	 First Instance - Exchange of briefs 	Text	 CHF 	 20'250 	100%	 20'250 	0 	0 	 -   	0 	0 	0 	0 	11.12.18			0.0%	 -
Civil CH	Switzerland	8374351	Name 8	864687	Case 2119	 No 	 Expected legal case by Implenia 	 Luisa 	 Hannes 	 Max 	220	Company H	 Name 118 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 384 	50%	 192 	192 	192 	 -   	-51 	-20 	0 	0 	01.12.11		16.11.11	5.0%	 110
Civil DE	France	8374351	Name 9	864687	 Case 2345 	 No 	 Legal case against Implenia 	 Anne 	 Julien 	 Helwig 	221	Company I	 Name 119 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -14'573 	100%	 -14'573 	0 	0 	 -   	0 	-197 	0 	0 	10.09.21			0.0%	 -
Civil DE	France	8374351	Name 10	864687	 Case 2346 	 No 	 Legal case against Implenia 	 Gabriella 	 Michael 	 John 	222	Company J	 Name 120 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -177 	100%	 -177 	0 	0 	 -   	0 	0 	0 	0 	07.09.18			0.0%	 -
