Division	Country	IC # 	IC Name / Name of Investment Center	PSP	Project Description	Project on RDA Yes / No	Type/Nature	Business Responsible	Legal Responsible	Finance Responsible	Case number	Claimant	Respondent of Claim	Counter Party's Relation to Implenia	Status of the Proceeding	Subject matter	Currency	"Value in dispute /
Claim volume       Claim by Implenia (+) / aganist Implenia (-)"	Our share %	"Value in dispute /
Claim volume based on our share"	"Real Case:"	Considered amount in our accounting	"Opportunities (+) /
Risks (-)"	Accumulated legal costs (expensed)	Expected legal costs (not yet expensed)	Accumulated court costs (expensed)	Expected court costs (not yet expensed)	Date start of proceeding	Date end of proceeding	Date relevant for interest	Interest rate	Interests
Buildings AT	Austria	56454	Name 1	64183	Case 2112	 No 	 Legal case against Implenia 	Peter	Jack	Mathias	213	Company A	 Name 111 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -200 	100%	 -200 	-98 	-98 	 -   	-29 	-10 	-4 	0 	08.02.19		17.08.18	8.6%	 -41
Buildings AT	Austria	56454	Name 2	64183	Case 2113	 No 	 Legal case by Implenia 	 Max 	 Nick 	 Heinz 	214	Company B	 Name 112 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 2'681 	100%	 2'681 	811 	811 	 -   	-186 	-59 	-80 	0 	29.04.20		26.01.20	8.6%	 238
Buildings CH	Switzerland	56454	Name 3	64183	Case 2114	 No 	 Expected legal case against Implenia 	 Heidi 	 Stella 	 Rene 	215	Company C	 Name 113 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -2'000 	100%	 -2'000 	-300 	-300 	 -   	0 	0 	0 	0 	30.11.20		25.08.03	5.0%	 -298
Buildings CH	Switzerland	56454	Name 4	64183	Case 2115	 No 	 Legal case against Implenia 	 Frack 	 Luna 	 Simon 	216	Company D	 Name 114 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -1'900 	100%	 -1'900 	-800 	-800 	 -   	-45 	-60 	0 	-15 	01.05.16		01.01.13	5.0%	 -420
Buildings DE	Germany	56454	Name 5	64183	Case 2116	 No 	 Legal case by Implenia 	 Hans 	 Meike 	 Marcel 	217	Company E	 Name 115 	 Client 	 First Instance - Court deliberation 	Text	 CHF 	 3'977 	100%	 3'977 	1'193 	1'193 	 -   	-29 	0 	0 	0 	01.06.10			0.0%	 -
Buildings DE	Germany	56454	Name 6	864687	Case 2117	 No 	 Legal case against Implenia 	 Werner 	 Kerstin 	 Christian 	218	Company F	 Name 116 	 Client 	 First Instance - Court deliberation 	Text	 CHF 	 -3'361 	100%	 -3'361 	-1'168 	-1'168 	 -   	-6 	-51 	0 	0 	22.08.16		22.08.16	9.0%	 -721
Civil CH	Switzerland	8374351	Name 7	864687	Case 2118	 No 	 Legal case by Implenia 	 Alexander 	 Ludwig 	 Peter 	219	Company G	 Name 117 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 384 	50%	 192 	192 	192 	 -   	-51 	-20 	0 	0 	01.12.11		16.11.11	5.0%	 112
Civil CH	Switzerland	8374351	Name 8	864687	Case 2119	 No 	 Expected legal case by Implenia 	 Luisa 	 Hannes 	 Max 	220	Company H	 Name 118 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -2'593 	50%	 -1'297 	-500 	-500 	 -   	-51 	-20 	0 	0 	01.12.11		19.08.11	5.0%	 -297
Civil DE	France	8374351	Name 9	864687	 Case 2345 	 No 	 Expected legal case by Implenia 	 Anne 	 Julien 	 Helwig 	221	Company I	 Name 119 	 Client 	 Evidence preservation proceedings (if not already otherwise pending) 	Text	 CHF 	 -1'759 	100%	 -1'759 	-469 	-469 	 -   	0 	0 	0 	0 	06.05.20			0.0%	 -
Civil DE	Germany	8374351	Name 10	864687	 Case 2346 	 No 	 Expected legal case by Implenia 	 Gabriella 	 Michael 	 John 	222	Company J	 Name 120 	 Client 	 Second Instance - Exchange of briefs 	Text	 CHF 	 2'056 	50%	 1'028 	59 	59 	 -   	-153 	-5 	-25 	0 	07.12.10		31.05.08	8.0%	 71
Civil RO	Romania	8374351	Name 11	64183	 Case 2347 	 no 	 Expected legal case by Implenia 	Peter	Jack	Mathias	223	Company K	 Name 121 	 Subcontractor 	 Bankruptcy proceedings 	Text	 CHF 	 51 	75%	 38 	0 	0 	 -   	0 	0 	0 	0 	26.06.16			0.0%	 -
Civil RO	Romania	8374351	Name 12	64183	 Case 2348 	 no 	 Legal case against Implenia 	 Max 	 Nick 	 Heinz 	224	Company L	 Name 122 	 Subcontractor 	 Second Instance - Court deliberation 	Text	 CHF 	 -295 	75%	 -222 	-222 	-222 	 -   	0 	0 	0 	0 	11.02.15			0.0%	 -
